MxForce	Drift	Pressure	TOTEN   	Filename
0.0922	0.0012	   -8.91	-43.716598	2
0.0656	0.0012	   -6.22	-43.608549	3
0.0694	0.0012	   -6.27	-43.610293	4
0.0715	0.0012	   -6.33	-43.610774	5
0.0709	0.0012	   -6.32	-43.610712	6
0.0712	0.0012	   -6.33	-43.610720	7
0.0712	0.0012	   -6.32	-43.610714	8
0.0710	0.0012	   -6.33	-43.610714	9
