MxForce	Drift	Pressure	TOTEN   	Filename
0.1004	0.0000	   -5.39	-43.712147	2
0.0684	0.0000	   -3.79	-43.602302	3
0.0730	0.0000	   -3.83	-43.604132	4
0.0733	0.0000	   -3.84	-43.604610	5
0.0725	0.0000	   -3.84	-43.604552	6
0.0734	0.0000	   -3.84	-43.604550	7
0.0727	0.0000	   -3.84	-43.604550	8
0.0728	0.0000	   -3.83	-43.604552	9
